RUN,NB.bcl,Read.Length,NB.sample
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231122_A00514_1608_BHN352DMXY/,888,101,3072
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231122_A00514_1609_AHN2JMDRX3/,528,50,32
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231127_A00514_1612_BHNCGTDMXY/,872,101,140
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231127_A00514_1613_AHN3MKDRX3/,872,101,48
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231129_A00514_1616_AHNJWWDMXY/,872,101,48
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231129_A00514_1617_BHNJMCDMXY/,888,101,3072
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231130_A00514_1618_AHNW3JDRX3/,234,101,18
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231130_A00514_1619_BHN3TMDRX3/,888,101,768
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231204_A00514_1622_BHNY3YDRX3/,436,101,49
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231204_A00514_1623_AHNYCKDRX3/,196,28,12
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231206_A00514_1626_BHNLYVDRX3/,1272,151,55
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231206_A00514_1627_AHN3TLDRX3/,888,101,768
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231207_A00514_1628_AHVCVKDSX7/,1104,28,16
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231207_A00514_1629_BHNLT5DMXY/,552,28,14
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231211_A00514_1632_BHNJJYDMXY/,872,101,97
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231211_A00514_1633_AHTH3YDRX3/,264,50,16
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231213_A00514_1636_AHVJG7DRX3/,464,100,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231213_A00514_1637_BHTJ2FDRX3/,276,64,32
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231214_A00514_1638_AHNGVKDRX3/,552,28,12
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231214_A00514_1639_BHNJVHDRX3/,888,101,768
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/231218_A00514_1642_AHV7WKDRX3/,276,28,8
